instance_name,lat,long
mastodon.burnworks.com,34.6864,135.52
mastodon.business,37.751,-97.822
mastodon.capitaines.fr,50.4104,2.8305
mastodon.cc,45.8696,-119.688
mastodon.cemea.org,48.8582,2.3387
mastodon.centiworks.com,30.2678,-97.7426
mastodon.cgx.me,43.7031,7.2661
mastodon.chaosfield.at,51.2993,9.491
mastodon.chilos.jp,35.1802,136.9067
mastodon.chotto.moe,35.685,139.7514
mastodon.civleaguejp.net,35.8569,139.6489
mastodon.cl,43.21,-79.655
mastodon.cloud,37.751,-97.822
mastodon.club,44.6533,-63.6675
mastodon.co.nz,-33.8612,151.1982
mastodon.co.za,40.7214,-74.0052
mastodon.codingfield.com,48.8628,2.3292
mastodon.com.pl,48.8582,2.3387
mastodon.cosmicanimal.jp,35.7166,137.9375
mastodon.crazynewworld.net,35.685,139.7514
mastodon.crazypanda.fr,48.8582,2.3387
mastodon.crossfamilyweb.com,42.7495,-73.5951
mastodon.cusae.com,48.8412,2.3003
mastodon.daiko.fr,48.8582,2.3387
mastodon.danbruno.net,33.9269,-117.8612
mastodon.deafpros.com,40.8326,-74.1307
mastodon.dereferenced.org,48.8582,2.3387
mastodon.desord.re,50.6942,3.1746
mastodon.digitalkr.am,51.2993,9.491
mastodon.diglateam3.com,35.69,139.69
mastodon.dissem.ch,51,9
mastodon.dotopia.dk,50.1167,8.6833
mastodon.dregin.com,48.8582,2.3387
mastodon.dremtech.fr,48.8582,2.3387
mastodon.eastback.co.jp,37.3388,-121.8914
mastodon.ebiryu.tech,34.6864,135.52
mastodon.eifelcoworking.space,48.8582,2.3387
mastodon.elao.com,48.8582,2.3387
mastodon.eliotberriot.com,48.8582,2.3387
mastodon.etalab.gouv.fr,51.4964,-0.1224
mastodon.evolix.org,49.1132,2.4223
mastodon.exchange,37.751,-97.822
mastodon.expert,46,2
mastodon.fishing,34.6864,135.52
mastodon.floripa.br,40.7214,-74.0052
mastodon.forza7.jp,34.6864,135.52
mastodon.ftfl.ca,44.6344,-63.5822
mastodon.fu-jp.net,34.6864,135.52
mastodon.fun,51.4964,-0.1224
mastodon.funigtor.fr,51.4964,-0.1224
mastodon.fyi,40.7308,-73.9975
mastodon.gamedev.place,48.8582,2.3387
mastodon.garbage-juice.com,40.7357,-74.1724
mastodon.gargantia.fr,44.8835,-0.6469
mastodon.gbnet.net,51.4964,-0.1224
mastodon.gion.me,35.685,139.7514
mastodon.gnieh.org,48.8582,2.3387
mastodon.gougere.fr,48.8582,2.3387
mastodon.groningendigitalcity.com,52.5,5.75
mastodon.gza.jp,34.6864,135.52
mastodon.hackerlab.fr,46,2
mastodon.hakai-macaron.com,35.69,139.69
mastodon.hakimus.de,51,9
mastodon.hakoai.com,35.685,139.7514
mastodon.hasameli.com,43.6683,-79.4205
mastodon.havas.jp,35.69,139.69
mastodon.hk,37.751,-97.822
mastodon.home.js4.in,35.69,139.69
mastodon.hong.io,48.8582,2.3387
mastodon.horde.net.br,40.7214,-74.0052
mastodon.host,46,2
mastodon.hugopoi.net,52.35,4.9167
mastodon.huma-num.fr,45.1715,5.7224
mastodon.immae.eu,50.4104,2.8305
mastodon.indie.host,51.2993,9.491
mastodon.infra.de,47.9809,7.7957
mastodon.ingress-enl.jp,34.6864,135.52
mastodon.internot.no,60.393,5.3242
mastodon.iot.tokyo,34.6864,135.52
mastodon.iut-larochelle.fr,48.8582,2.3387
mastodon.izzz.fr,48.8582,2.3387
mastodon.jamesmwright.com,48.8582,2.3387
mastodon.jpages.eu,48.8582,2.3387
mastodon.juggler.jp,34.6864,135.52
mastodon.kamunagara.org,35.69,139.69
mastodon.kawaiyume.net,48.8582,2.3387
mastodon.kebree.fr,48.8582,2.3387
mastodon.kitamurakz.com,35.4478,139.6425
mastodon.kosebamse.com,51.2993,9.491
mastodon.koteitan.com,34.6864,135.52
mastodon.kujiu.org,50.8333,4.3333
mastodon.lachman.tk,49.2,16.6333
mastodon.land,46,2
mastodon.latransition.org,48.8582,2.3387
mastodon.lavergne.online,48.8582,2.3387
mastodon.le-palantir.com,44.1542,0.918
mastodon.lemarchand.io,48.8628,2.3292
mastodon.lerelaisdupatriote.fr,48.8582,2.3387
mastodon.lertsenem.com,56,24
mastodon.lignux.com,48.8582,2.3387
mastodon.linuxquimper.org,48.8582,2.3387
mastodon.lithium03.info,37.4192,-122.0574
mastodon.lndvll.se,59.3247,18.056
mastodon.lolisandstuff.moe,52.3824,4.8995
mastodon.lu,51.2993,9.491
mastodon.m0t0k1ch1.com,35.5833,139.7483
